model_name,formula,family,offset,covariance,term,estimate_log,se_log,z,p_value,irr,irr_ci_low,irr_ci_high,n_rows,n_sites,converged,model_aic,notes
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.San Juan]",-0.11101745278592526,0.7931320617802586,-0.13997347747705,0.8886809459648157,0.8949231298909279,0.18909084295182085,4.235463737489582,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.South]",-1.7419266518359167,0.8731088232341697,-1.9950853839541696,0.046033568187615635,0.175182559470545,0.03164457661791633,0.9698005921582079,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Strait of Georgia]",2.570347857931721,0.5228836911063617,4.915716251339109,8.845844351388101e-07,13.070370282208446,4.690384937236185,36.422294033440714,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Strait of Juan de Fuca]",2.625907751453419,0.4859714788256489,5.403419471856518,6.538231582791966e-08,13.817110997641915,5.3303726720436035,35.815986623682626,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Whidbey]",3.5510394002586616,0.536848358505433,6.614604187567288,3.725471973257661e-11,34.84952127065483,12.168321208673644,99.80745182237048,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
M3_eelgrass_plus_basin,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,SiteHasEelgrassInt,1.8020456697089877,0.6565456596237951,2.744737770015221,0.00605592668922824,6.062035711791998,1.6740399263352872,21.951852158919976,3978,133,True,5257.286459571675,Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-2.88071818195945,0.6578281788294361,-4.37913466565921,1.1915148903514233e-05,0.05609446233344671,0.01545167726822231,0.20364059188252,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Admiralty Inlet]",1.3416557950204955,0.6178027986056269,2.1716570369195405,0.02988154140149263,3.825372296730242,1.1397222133408567,12.839508642808891,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Hood Canal]",3.334591058279046,0.5463503114145662,6.103393717568114,1.0383962709282488e-09,28.066903148944682,9.619229086848252,81.89336642884219,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Howe Sound]",0.2762632392785697,0.828552409336896,0.33342880446110545,0.7388106231055072,1.318194819012381,0.2598450876346869,6.687205814388949,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
