SiteName,HAB_CALC_2.0,HAB_CALC_3.0,HAB_CALC_4.0,HAB_CALC_5.0,HAB_CALC_6.0,HAB_CALC_7.0,HAB_CALC_8.0,HAB_CALC_9.0
Scenic Beach State Park,False,False,False,False,False,False,False,True
Seabeck Bay,False,False,False,False,False,False,True,False
Seattle Waterfront,False,False,True,False,False,False,False,False
Sekiu,False,False,True,False,False,False,False,False
Shirttail Reef,False,False,False,True,False,False,False,False
Sirens of Spring,False,False,True,False,False,False,False,False
Skyline,False,True,False,False,False,False,False,False
Smallpox Bay,False,True,False,False,False,False,False,False
South Hat Island,False,False,False,False,False,True,False,False
Speiden Southwest,False,False,True,False,False,False,False,False
Squaxin Island,False,False,False,False,False,False,False,True
Steilacoom Marina,False,False,False,False,False,False,False,True
Strawberry Falls,False,True,False,False,False,False,False,False
Sucia Island - Lawson's Bluff,False,False,True,False,False,False,False,False
Sucia Island - Shallow Bay,False,False,False,True,False,False,False,False
Sund Rock,False,False,False,False,False,True,False,False
Sund Rock North,False,False,False,False,False,True,False,False
Sund Rock South,False,False,True,False,False,False,False,False
Sunnyside Beach Park,False,False,False,False,False,False,False,True
Sunrise Beach State Park,False,False,False,False,True,False,False,False
Tacoma Narrows,False,False,False,False,False,True,False,False
Tacoma Narrows - Point Evans,False,False,False,False,False,True,False,False
Tacoma Old Town Pier,False,False,True,False,False,False,False,False
Teahwhit Head,True,False,False,False,False,False,False,False
The Pinnacle,False,False,False,False,False,False,True,False
Thea's Park - Foss Waterway,False,False,False,True,False,False,False,False
Three Tree Point,False,False,False,False,True,False,False,False
Three Tree Point North,False,False,False,False,True,False,False,False
Tire Reef N Saltwater State Park,False,False,False,False,True,False,False,False
Titlow Beach Park,False,False,False,False,False,False,True,False
Tongue Point,False,True,False,False,False,False,False,False
Triton Cove,False,False,False,False,False,False,False,True
Triton Head,False,False,False,False,False,False,False,True
Urchin Rocks South,False,True,False,False,False,False,False,False
Watmaugh Bay,False,False,True,False,False,False,False,False
Whale Rocks,False,True,False,False,False,False,False,False
Widmer Reef,False,False,True,False,False,False,False,False
Wing Point,False,False,True,False,False,False,False,False
Wreck of the Ranger,False,False,False,True,False,False,False,False
Yellow House,False,False,False,False,False,False,True,False
Young Island West,False,False,True,False,False,False,False,False
Z's Reef,False,False,False,False,False,False,True,False
