SiteName,Lat,Long,LENGTH,UNIT_ID,PHY_IDENT,UNIT_TYPE,BC_CLASS,DETH_CLASS,NRDA_CLASS,GEO_MAPPER,GEO_EDITOR,GEO_MAP_DT,GEO_SOURCE,BIO_MAPPER,BIO_EDITOR,BIO_MAP_DT,BIO_SOURCE,BIO_SLIDE,SCALE,VIDEO_TAPE,VIDEO_DATE,VIDEO_TIME,BASE_MAP,CHART,EXP_CALC,EXP_OBSER,EXP_BIO,EXP_CLASS,ORI,SED_SOURCE,SED_ABUND,SED_DIR,CHNG_TYPE,HAB_CALC,SHORENAME,SM_TOT_PCT,SM1_TYPE,SM1_PCT,SM1_FT,SM2_TYPE,SM2_PCT,SM2_FT,SM3_TYPE,SM3_PCT,SM3_FT,RAMP,PIERDOCK,SLIP_SMALL,SLIP_LARGE,RAILROAD,RIPAR_PCT,RIPAR_FT,ITZ_WIDTH,ZONECOMP,VER_UNIT,GRA_UNIT,SED_UNIT,TRI_UNIT,SAL_UNIT,SPA_UNIT,FUC_UNIT,BAR_UNIT,BMU_UNIT,ULV_UNIT,GCA_UNIT,OYS_UNIT,MUS_UNIT,RED_UNIT,CAL_UNIT,SBR_UNIT,SAR_UNIT,CHB_UNIT,SUR_UNIT,DEN_UNIT,ZOS_UNIT,NER_UNIT,MAC_UNIT,BIO_UNIT,BIOUNITTXT,SHORENORM,FET_NORM,RIGHT_45,LEFT_45,MAX_FET_DI,MAX_FET,EFF_FET,TIDE_RNG,A1_FMTXT,A2_FMTXT,A3_FMTXT,A4_FMTXT,B1_FMTXT,B2_FMTXT,B3_FMTXT,B4_FMTXT,B5_FMTXT,C1_FMTXT,COMMENTS,Shape_Length,distance_to_shore_m
Edmonds Underwater Park Kelp,47.819549,-122.37838,2286.686,2498.0,5/1/024/0,L,24.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990308.0,V, ,"1:12,000",WA 1997-06,1997.0,22:12:10,T27N_R03E SE,18445,SP,SP,SP,SP,4.0,A,S,X,S,6.0,EDMONDS,100.0,RR,100.0,2286.69, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,Y,0.0,0.0,16.0,A1 B1 B2 B3 C1, , , , , , ,P,P, ,C, , , , , , ,P, , , , ,P, ,FUC-P BAR-P ULV-C SAR-P NER-P,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER), SARGASSUM (SAR)",300.0,11.9,10.9,9.1,318.0,34.6,11.6,2.4,SEAWALL (RIPRAP), , , ,SEAWALL (RIPRAP),"BEACH FACE (SAND, PEBBLE, COBBLE)","BEACH FACE (COBBLE, BOULDER, PEBBLE, SAND)", , , , ,2286.6372598613943,158.935547259902
Edmonds Underwater Park Pipeline,47.812101,-122.389429,1416.573,2502.0,5/1/028/0,L,32.0,94.0,9.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990308.0,V, ,"1:12,000",WA 1997-06,1997.0,22:12:48,T27N_R03E SE,18445,P,SP,SP,SP,3.0,X,S,X,S,4.0,EDMONDS MARINA,100.0,RR,80.0,1133.26,WB,20.0,283.31, ,0.0,0.0,0.0,1.0,0.0,2.0,N,0.0,0.0,5.0,A1 B1 C1,N, , , , , ,C,C, ,C, , , , , , , , , , , ,P, ,VER-N FUC-C BAR-C ULV-C NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER)",337.0,0.1,0.1,0.1,247.0,8.0,0.3,2.4,"BREAKWATER (RIPRAP, WOOD)", , , ,"BREAKWATER (RIPRAP, WOOD)", , , , , ,OUTSIDE BREAKWATER,1416.561351516447,113.3810642293962
Edmonds Underwater Park Shell Creek,47.819549,-122.37838,2286.686,2498.0,5/1/024/0,L,24.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990308.0,V, ,"1:12,000",WA 1997-06,1997.0,22:12:10,T27N_R03E SE,18445,SP,SP,SP,SP,4.0,A,S,X,S,6.0,EDMONDS,100.0,RR,100.0,2286.69, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,Y,0.0,0.0,16.0,A1 B1 B2 B3 C1, , , , , , ,P,P, ,C, , , , , , ,P, , , , ,P, ,FUC-P BAR-P ULV-C SAR-P NER-P,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (NER), SARGASSUM (SAR)",300.0,11.9,10.9,9.1,318.0,34.6,11.6,2.4,SEAWALL (RIPRAP), , , ,SEAWALL (RIPRAP),"BEACH FACE (SAND, PEBBLE, COBBLE)","BEACH FACE (COBBLE, BOULDER, PEBBLE, SAND)", , , , ,2286.6372598613943,158.935547259902
Elephant Wall,47.562416,-123.017743,1653.784,1143.0,3/2/364/0,L,14.0,50.0,9.0,Howes,Harper,20000313.0,VP,Dethier,Dethier,20000515.0,V, ,"1:12,000",WA 1999-04,1999.0,19:12:30,T24N_R03W SE,18445,SP,P,X,P,5.0,B,M,X,S,5.0,HOOD CANAL,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,1.0,A1 B1 C1,N, , , , , ,P,C, ,P, , , ,P, , ,P, , , ,P, , ,VER-N FUC-P BAR-C ULV-P RED-P SAR-P ZOS-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), SARGASSUM (SAR), EELGRASS (ZOS)",133.0,2.6,4.0,3.4,199.0,13.4,4.2,2.2,STEEP CLIFF OF MODERATE HEIGHT (BEDROCK), , , ,"STEEP CLIFF OF MODERATE HEIGHT (BEDROCK); INCLINED BEACH (VENEER OF SAND, PEBBLE, COBBLE OVERLYING BEDROCK)", , , , , , ,1653.7680234888076,58.02049178731129
Everett Pipeline,47.974814,-122.239548,781.186,4685.0,6/3/500/0,L,32.0,94.0,9.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990721.0,V, ,"1:12,000",WA 1997-06,1997.0,21:59:17,T29N_R04E SE,18423,SP,P,X,P,5.0,A,M,X,S,5.0, ,100.0,LF,50.0,390.59,RR,50.0,390.59, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,28.0,A1 B1 B2 C1, , , , , , , ,P, ,P, , , , , , , , , , , , , ,BAR-P ULV-P,"BARNACLES (BAR), GREEN ALGAE (ULV)",291.0,11.5,9.3,11.2,309.0,34.1,7.0,2.3,"SEAWALL (FILL, RIPRAP)", , , ,"SEAWALL (FILL, RIPRAP)",TIDAL FLAT (FINES/MUD), , , , , ,781.1770858905036,778.3292594210194
Flagpole Point,47.564755,-123.01436,901.837,1146.0,3/2/367/0,L,30.0,78.0,11.0,Howes,Harper,20000313.0,VP,Dethier,Dethier,20000515.0,SV,WA 1999-5-33,"1:12,000",WA 1999-04,1999.0,19:12:52,T24N_R03W NE,18445,SP,P,X,P,4.0,A,M,X,S,8.0,HOOD CANAL,100.0,CB,60.0,541.1,RR,40.0,360.73, ,0.0,0.0,1.0,0.0,0.0,0.0,N,10.0,90.18,20.0,A1 A2 B1 C1,N, , , , , ,P,P, ,P, ,P, , , , ,P, , , , , , ,VER-N FUC-P BAR-P ULV-P OYS-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), OYSTERS (OYS), SARGASSUM (SAR)",98.0,3.1,2.7,9.0,44.0,19.7,4.3,2.2,"LOW INCLINED CLIFF, RAMP (DUNE GRASSES, LIVE TREES OVERLYING TILL); LANDFILL (FILL)","SEAWALL (RIPRAP, CONCRETE)", , ,"BEACH FACE (VENEER OF SHELL OVERLYING PEBBLE, COBBLE OVERLYING SAND)", , , , , , ,901.8306068370476,79.9654082717861
Flat Top Island,48.647176,-123.086428,2225.766,6050.0,8/1/515/0,L,3.0,3.0,3.0,Harper,Harper,20000322.0,VP,Morris,Dethier,20000523.0,V,WA 1999-20-16,"1:12,000",WA 1999-11,1999.0,21:12:06,T36N_R03W NW,18423,SP,SP,X,SP,2.0,X,S,X,S,4.0,FLAT TOP IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,1.0,A1 B1 C1,N, , , , , ,P,C, ,P, , , ,C, ,P,P, , , , , , ,VER-N FUC-P BAR-C ULV-P RED-C SBR-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR), SARGASSUM (SAR)",339.0,13.9,5.9,5.3,51.0,18.0,8.7,1.3,"HIGH, STEEP CLIFF (BEDROCK)", , , ,"HIGH, STEEP CLIFF (BEDROCK)", , , , , , ,2225.78678052222,15.151561702825525
Fort Worden,48.136638,-122.760193,1644.839,781.0,3/1/161/0,L,27.0,74.0,11.0,Gillie,Harper,19970301.0,VC,Morris,Dethier,19970301.0,V, ,"1:12,000",WA 1995-06,1995.0,19:06:55,T30N_R01W SE,18471,SP,SP,SP,SP,3.0,A,A,N,A,9.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,1.0,1.0,0.0,1.0,N,0.0,0.0,45.0,A1 B1 B2 B3 C1, ,P, , , , , , , , , , , , , , , , , , ,P, , ,GRA-P ZOS-P,"DUNE GRASS (GRA), EELGRASS (ZOS)",98.0,12.2,5.2,7.1,122.0,13.4,6.1,1.6,"INCLINED CLIFF OF MODERATE HEIGHT (SAND, GRAVEL); BEACH WITH STORM RIDGE (DUNE GRASSES); VEGETATED DUNE (SAND)", , , ,"BEACH BERM (LOGS OVERLYING SAND, PEBBLE)",BEACH FACE (SAND),"BEACH WITH LOW TIDE TERRACE (SAND); WHARF, BOAT RAMP (WOOD)", , , , ,1644.8977132578173,115.08902650949857
Foulweather Bluff,47.941083,-122.6012,897.658,3301.0,5/2/505/0,L,24.0,66.0,10.0,Harper,Harper,19990415.0,V,Dethier,Dethier,19990405.0,V, ,"1:12,000",WA 1997-07,1997.0,20:12:34,T28N_R02E NW,18445,SP,SP,X,SP,4.0,B,M,X,E,6.0,FOULWEATHER BLUFF,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,50.0,448.83,35.0,A1 B1 B2 C1, , , , , , , , , , , , , , , , , , , , , , , , , ,73.0,11.8,4.6,8.0,343.0,29.3,9.6,2.4,"HIGH, STEEP CLIFF (TILL)", , , ,"BEACH FACE (SAND, PEBBLE)","BEACH WITH LOW TIDE TERRACE (COBBLE, BOULDER, PEBBLE, SAND)", , , , , ,897.6524074639344,227.63951332030507
Fox Island East Wall,47.228514,-122.589606,3215.829,1626.0,4/2/139/0,L,25.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-05,1999.0,19:09:14,T20N_R02E NW,18445,P,P,X,P,4.0,A,M,X,S,8.0,TOY PT,50.0,CB,30.0,964.75,WB,20.0,643.17, ,0.0,0.0,0.0,2.0,2.0,1.0,N,15.0,482.37,25.0,A1 A2 B1 C1, , , , , , ,P,P, ,P, , , , , ,P,P, , , , ,P, ,FUC-P BAR-P ULV-P SBR-P SAR-P NER-P,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR, NER), SARGASSUM (SAR)",95.0,2.0,2.1,3.7,29.0,8.7,3.3,3.0,"LOW INCLINED CLIFF, RAMP (DUNE GRASSES, LIVE TREES OVERLYING TILL); INCLINED CLIFF OF MODERATE HEIGHT (LIVE TREES, DUNE GRASSES OVERLYING TILL); STEEP CLIFF OF MODERATE HEIGHT (TILL)","SEAWALL (CONCRETE, WOOD); LOW INCLINED CLIFF, RAMP (TILL, SAND); WHARF (WOOD, RIPRAP)", , ,"BEACH FACE (VENEER OF PEBBLE, COBBLE OVERLYING SAND); WHARF (WOOD, RIPRAP)", , , , , ,WHARVES,3215.8553155912136,51.209503150457586
Fox Island West Wall,47.239321,-122.632894,2834.992,1619.0,4/2/132/0,L,30.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-05,1999.0,19:06:04,T20N_R01E NE,18445,SP,P,X,P,4.0,A,M,X,S,8.0,FOX ISLAND,60.0,CB,50.0,1417.5,RR,10.0,283.5, ,0.0,0.0,7.0,0.0,0.0,0.0,N,30.0,850.5,25.0,A1 A2 B1 B2 C1, , , , , , , , , ,P, , , , , ,C, , , ,P,P, , ,ULV-P SBR-C DEN-P ZOS-P,"GREEN ALGAE (ULV), KELP (SBR), SAND DOLLARS (DEN), EELGRASS (ZOS)",241.0,3.7,8.3,3.6,187.0,12.6,6.4,3.0,"LOW INCLINED CLIFF, RAMP (LIVE TREES, DUNE GRASSES OVERLYING TILL); INCLINED CLIFF OF MODERATE HEIGHT (LIVE TREES OVERLYING TILL)","SEAWALL (CONCRETE, RIPRAP); LOW INCLINED CLIFF, RAMP (LOGS OVERLYING TILL, SAND); FERRY TERMINAL (CONCRETE)", , ,BEACH FACE (VENEER OF PEBBLE OVERLYING SAND); BOAT RAMP (CONCRETE),BEACH WITH LOW TIDE TERRACE (SAND); BOAT RAMP (CONCRETE), , , , , ,2834.998396333987,79.81404778334623
Freshwater Bay,48.15063,-123.636083,10816.37,421.0,2/1/011/0,L,8.0,2.0,1.0,Gillie,Harper,19970301.0,VC,Morris,Dethier,19970301.0,SV,"WA 1995-16-22,23,24","1:12,000",WA 1995-05,1995.0,16:16:37,T31N_R8W SE,18465,SE,SE,SE,SE,5.0,B,S,E,E,3.0,OBSERVATORY PT.,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,5.0,A1 B1 C1,M, , , , , ,P,C, , , , ,P,P, ,P, ,C,C, ,P,P, ,VER-M FUC-P BAR-C MUS-P RED-P SBR-P CHB-C SUR-C ZOS-P NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), MUSSELS (MUS), RED ALGAE (RED), KELP (SBR, CHB, NER), SURFGRASS (SUR), EELGRASS (ZOS)",40.0,0.0,0.0,0.0,0.0,500.0,62.7,1.3,STEEP CLIFF OF MODERATE HEIGHT (BEDROCK), , , ,"STEEP CLIFF OF MODERATE HEIGHT (BEDROCK); BEACH FACE (GRAVEL OVERLYING BEDROCK); OFFSHORE ISLAND, SEA STACKS (BEDROCK)", , , , , , ,10816.473112455216,14.687854444200102
Friday Harbor Reef,48.549823,-123.005027,663.231,5784.0,8/1/249/0,L,4.0,4.0,3.0,Reimer,Harper,19940929.0,VPCT,Morris,Dethier,20000523.0,V, ,"1:12,000",WA 1994-01,1994.0,12:13:21,T35N_R03W NE,18434,P,P,X,P,3.0,X,S,X,S,5.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,6.0,A1 B1 C1,N, , , , , ,C,P, ,P, , , , , ,P,P, , , , ,P, ,VER-N FUC-C BAR-P ULV-P SBR-P SAR-P NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR, NER), SARGASSUM (SAR)",99.0,6.3,2.1,1.6,111.0,7.1,3.0,1.3,RAMP PLATFORM (LOGS OVERLYING BEDROCK), , , ,RAMP PLATFORM (BEDROCK), , , , , , ,663.2454572531817,58.05745740299823
Fulton Creek,47.617983,-122.968183,1058.901,1168.0,3/2/389/0,L,30.0,74.0,11.0,Howes,Harper,20000313.0,VP,Dethier,Dethier,20000515.0,V, ,"1:12,000",WA 1999-04,1999.0,19:18:34,T25N_R02W SW,18445,SP,SP,X,SP,3.0,A,M,X,S,9.0,HOOD CANAL,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,50.0,529.45,20.0,A1 A2 B1 C1, , , , , , ,P,P, , , ,C, , , , ,P, , , ,P, , ,FUC-P BAR-P OYS-C SAR-P ZOS-P,"ROCKWEED (FUC), BARNACLES (BAR), OYSTERS (OYS), SARGASSUM (SAR), EELGRASS (ZOS)",159.0,3.8,33.2,4.1,204.0,33.2,4.1,2.2,HIGH INCLINED CLIFF (LIVE TREES OVERLYING TILL),"LOW INCLINED CLIFF, RAMP (TILL, SAND)", , ,"BEACH FACE (VENEER OF SHELL OVERLYING PEBBLE, COBBLE OVERLYING SAND)", , , , , , ,1058.8977624286472,100.07847592063233
Goby Garden,47.63058,-122.942265,3276.935,1176.0,3/2/397/0,L,9.0,54.0,9.0,Howes,Harper,20000313.0,VP,Dethier,Dethier,20000515.0,V, ,"1:12,000",WA 1999-04,1999.0,19:19:44,T25N_R02W SW,18445,SP,P,X,P,4.0,B,S,X,S,5.0,HOOD CANAL,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,8.0,A1 B1 C1,N, , , , , ,C,C, ,P, ,P, , , ,P,P, , , , , , ,VER-N FUC-C BAR-C ULV-P OYS-P SBR-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), OYSTERS (OYS), KELP (SBR), SARGASSUM (SAR)",149.0,3.9,6.1,3.0,209.0,29.6,6.6,2.2,"LOW INCLINED CLIFF, RAMP (BEDROCK)", , , ,"BEACH, VENEER OVERLYING LOW INCLINED CLIFF (VENEER OF BOULDER, COBBLE OVERLYING BEDROCK)", , , , , , ,3276.905210729245,133.33758319659154
"Green Point, Spieden Island",48.633476,-123.126096,12611.911,6037.0,8/1/502/0,L,4.0,3.0,3.0,Harper,Harper,20000322.0,VP,Morris,Dethier,20000523.0,V,WA 1999-20-12,"1:12,000",WA 1999-11,1999.0,21:04:52,T36N_R03W NW,18423,SP,SP,X,SP,2.0,X,S,X,S,4.0,SPIEDEN IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,2.0,A1 B1 C1,N, , , , , ,C,C, ,C, , , ,C, ,P,P, , , , ,P, ,VER-N FUC-C BAR-C ULV-C RED-C SBR-P SAR-P NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR, NER), SARGASSUM (SAR)",207.0,3.0,0.5,2.5,291.0,25.0,4.8,1.3,LOW INCLINED CLIFF (BEDROCK), , , ,RAMP PLATFORM (BEDROCK), , , , , , ,12612.053566811363,117.40237063488298
Hat Island,48.005829,-122.300441,1112.583,4622.0,6/3/434/0,L,25.0,66.0,10.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990721.0,V, ,"1:12,000",WA 1997-06,1997.0,21:42:27,T30N_R04E NW,18423,SP,P,X,P,5.0,A,M,X,A,7.0,GEDNEY ISLAND,30.0,WB,30.0,333.77, ,0.0,0.0, ,0.0,0.0,0.0,2.0,4.0,0.0,N,0.0,0.0,20.0,A1 B1 C1, , , , , , , ,P, ,P, , , , , , , , , , ,P, , ,BAR-P ULV-P ZOS-P,"BARNACLES (BAR), GREEN ALGAE (ULV), EELGRASS (ZOS)",73.0,8.0,6.9,5.2,343.0,12.7,6.5,2.3,BEACH BERM (SAND); SEAWALL (WOOD), , , ,"BEACH FACE (VENEER OF PEBBLE, COBBLE OVERLYING SAND)", , , , , , ,1112.5962390616587,224.6535411530189
Hat Island Ledge,48.007259,-122.298823,1112.583,4622.0,6/3/434/0,L,25.0,66.0,10.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990721.0,V, ,"1:12,000",WA 1997-06,1997.0,21:42:27,T30N_R04E NW,18423,SP,P,X,P,5.0,A,M,X,A,7.0,GEDNEY ISLAND,30.0,WB,30.0,333.77, ,0.0,0.0, ,0.0,0.0,0.0,2.0,4.0,0.0,N,0.0,0.0,20.0,A1 B1 C1, , , , , , , ,P, ,P, , , , , , , , , , ,P, , ,BAR-P ULV-P ZOS-P,"BARNACLES (BAR), GREEN ALGAE (ULV), EELGRASS (ZOS)",73.0,8.0,6.9,5.2,343.0,12.7,6.5,2.3,BEACH BERM (SAND); SEAWALL (WOOD), , , ,"BEACH FACE (VENEER OF PEBBLE, COBBLE OVERLYING SAND)", , , , , , ,1112.5962390616587,374.5322563505769
Hat Island Marina,48.020625,-122.321716,622.951,4632.0,6/3/444/0,L,32.0,94.0,9.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990721.0,V, ,"1:12,000",WA 1997-06,1997.0,21:43:54,T30N_R04E NW,18423,VP,P,X,P,5.0,A,M,X,A,5.0,GEDNEY ISLAND,100.0,RR,100.0,622.95, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,22.0,A1 B1 B2 C1, , , , , , , ,P,P,C, , , , , , , , , , , , , ,BAR-P BMU-P ULV-C,"BARNACLES (BAR), MUSSELS (BMU), GREEN ALGAE (ULV)",31.0,0.0,0.0,0.0,121.0,0.1,0.0,2.3,SEAWALL (RIPRAP), , , ,SEAWALL (RIPRAP),BEACH FACE (SAND), , , , , ,622.9607727441944,28.383793023073768
Holmes Harbor,48.017692,-122.53879,1395.517,3972.0,6/2/110/0,L,24.0,66.0,10.0,Starkes,Harper,19990615.0,VPC,Dethier,Dethier,19990625.0,V, ,"1:12,000",WA 1997-05,1997.0,17:53:40,T29N_R02E NE,18423,P,P,P,P,5.0,A,M,X,S,7.0,FREELAND,50.0,RR,30.0,418.66,CB,20.0,279.1, ,0.0,0.0,0.0,0.0,0.0,0.0,N,5.0,69.78,108.0,A1 B1 B2 C1, , , , , , ,P,P, , , , , , ,C, , , , , ,C, , ,FUC-P BAR-P CAL-C ZOS-C,"ROCKWEED (FUC), BARNACLES (BAR), GHOST/MUD SHRIMP (CAL), EELGRASS (ZOS)",78.0,1.6,0.4,3.9,348.0,8.2,1.6,2.3,"SEAWALL (RIPRAP, CONCRETE); LOW INCLINED CLIFF (TILL)", , , ,"BEACH FACE (SAND, PEBBLE)","TIDAL FLAT (SAND, FINES/MUD)", , , , , ,1395.56021763036,229.58866793336355
Intake Tower/Between Owens and Boathouse,47.31032,-122.522841,3192.719,2693.0,5/1/222/0,L,25.0,66.0,10.0,Starkes,Harper,19990222.0,V,Dethier,Dethier,19990304.0,V, ,"1:12,000",WA 1997-08,1997.0,22:13:08,T21N_R02E NE,18445,SP,SP,SP,SP,4.0,A,M,X,S,6.0,POINT DEFIANCE PARK,100.0,CB,100.0,3192.72, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,22.0,A1 B1 B2 C1, , , , , , , ,P, ,P, , , , , ,P, , , , , ,P, ,BAR-P ULV-P SBR-P NER-P,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR, NER)",39.0,3.0,7.0,3.8,57.0,17.6,5.4,2.4,SEAWALL (CONCRETE), , , ,"SEAWALL (CONCRETE); BEACH FACE (PEBBLE, SAND)","BEACH FACE (PEBBLE, SAND)", , , , , ,3192.7335802539915,50.25396811374892
"Jack Block, Seattle, Washington",47.583575,-122.371769,2130.161,2567.0,5/1/094/0,L,32.0,94.0,9.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990302.0,V, ,"1:12,000",WA 1997-08,1997.0,21:26:57,T24N_R03E NE,18445,SP,SP,SP,SP,3.0,X,S,X,S,4.0, ,100.0,LF,80.0,1704.13,RR,10.0,213.02,SP,10.0,213.02,0.0,5.0,0.0,2.0,N,0.0,0.0,2.0,A1 B1 C1, , , , , , ,P,P, ,P, , , ,P, , , , , , , ,P, ,FUC-P BAR-P ULV-P RED-P NER-P,"ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (NER)",338.0,5.2,3.4,0.5,326.0,21.5,3.8,2.4,"SEAWALL (RIPRAP, WOOD); WHARF (METAL, WOOD)", , , ,"SEAWALL (RIPRAP, WOOD); WHARF (METAL, WOOD)", , , , ,"SEAWALL (RIPRAP, WOOD); WHARF (METAL, WOOD)",RAIL LAODING FACILITY,2130.1641918271266,32.86518168332998
Jack Hyde Park,47.275975,-122.463905,322.733,2678.0,5/1/207/0,L,30.0,74.0,11.0,Starkes,Harper,19990222.0,V,Dethier,Dethier,19990304.0,V, ,"1:12,000",WA 1997-08,1997.0,22:09:15,T21N_R03E SW,18445,SP,SP,SP,SP,3.0,A,M,X,S,9.0, ,100.0,RR,100.0,322.73, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,10.0,A1 B1 C1, , , , , , , , , ,P, , , , , ,P, , , , , , , ,ULV-P SBR-P,"GREEN ALGAE (ULV), KELP (SBR)",14.0,10.8,4.3,7.4,20.0,12.2,4.8,2.4,SEAWALL (RIPRAP), , , ,BEACH FACE (SAND), , , , , , ,322.73099784271164,27.882652986179828
Jefferson Head,47.74169406,-122.4868108,3494.62,3252.0,5/2/456/0,L,25.0,66.0,10.0,Harper,Harper,19990415.0,V,Dethier,Dethier,19990405.0,V, ,"1:12,000",WA 1997-07,1997.0,19:53:43,T26N_R02E NE,18445,SP,SP,X,SP,4.0,B,M,X,E,6.0, ,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,30.0,1048.39,20.0,A1 A2 B1 B2 C1, , , , , , , ,C, ,C, , , , , ,P,P, , , ,P, , ,BAR-C ULV-C SBR-P SAR-P ZOS-P,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR), SARGASSUM (SAR), EELGRASS (ZOS)",171.0,38.7,5.6,8.3,171.0,38.7,11.3,2.4,"HIGH, STEEP CLIFF (TILL); HIGH, STEEP CLIFF (LIVE TREES OVERLYING TILL)","BEACH BERM (LOGS OVERLYING SAND, PEBBLE)", , ,"BEACH FACE (COBBLE, PEBBLE, SAND)","BEACH WITH LOW TIDE TERRACE (SAND, COBBLE, BOULDER)", , , , , ,3494.63856016549,256.73592117639595
Jones Island,48.617667,-123.040383,2475.266,6735.0,8/2/565/0,L,9.0,8.0,3.0,Harper,Harper,20000315.0,VPC,Dethier,Dethier,20000411.0,V, ,"1:12,000",WA 1999-11,1999.0,20:39:56,T36N_R03W NE,18423,SP,P,X,P,4.0,B,S,X,S,5.0,JONES IS,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,10.0,A1 B1 B2 C1,N, , , , , ,C,C, ,P, , , ,C, ,P,P, , , , , , ,VER-N FUC-C BAR-C ULV-P RED-C SBR-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), KELP (SBR), SARGASSUM (SAR)",58.0,1.0,1.0,7.5,22.0,48.1,5.3,1.4,LOW INCLINED CLIFF (BEDROCK), , , ,"RAMP PLATFORM (VENEER OF BOULDER OVERLYING BEDROCK); INCLINED BEACH (SAND, PEBBLE); LOW, STEEP CLIFF (BEDROCK)","REEF, RAMP (BEDROCK)", , , , , ,2475.3133673534194,24.54076370835011
