SiteName,ZONECOMP_A1 A2 A3 B1 C1,ZONECOMP_A1 A2 B1 B2 B3 C1,ZONECOMP_A1 A2 B1 B2 C1,ZONECOMP_A1 A2 B1 C1,ZONECOMP_A1 B1,ZONECOMP_A1 B1 B2 B3 B4 C1,ZONECOMP_A1 B1 B2 B3 C1,ZONECOMP_A1 B1 B2 C1,ZONECOMP_A1 B1 C1,ZONECOMP_B1 C1
Pile Point,False,False,False,False,False,False,False,False,True,False
Pirate Cove,False,False,False,False,False,False,False,False,True,False
Point Caution,False,False,False,False,False,False,False,False,True,False
Point Dalco,False,False,False,False,False,False,False,True,False,False
Point Defiance Boathouse,False,False,False,False,False,False,False,True,False,False
Point Defiance North Wall,False,False,False,False,False,False,False,True,False,False
Point Defiance Wall,False,False,False,False,False,False,False,True,False,False
Point Defiance West Kelp Beds,False,False,False,False,False,False,False,False,True,False
Point Defiance West Wall,False,False,False,False,False,False,False,True,False,False
Point George,False,False,False,False,False,False,False,False,True,False
Point Hudson,False,False,False,False,False,False,False,False,True,False
Point Ruston,False,False,False,False,False,False,False,False,True,False
Point Ruston Ferry,False,False,False,False,False,False,False,False,True,False
Point Vashon,False,False,False,False,False,False,False,True,False,False
Point Whitehorn,False,False,True,False,False,False,False,False,False,False
Point Whitney Shellfish Lab,False,False,True,False,False,False,False,False,False,False
Possession Point Ferry,False,False,False,False,False,False,False,True,False,False
Possession Point Fingers,False,False,False,False,False,False,False,False,True,False
Pulali Point,True,False,False,False,False,False,False,False,False,False
Pulali Point West Wall,False,False,False,False,False,False,False,False,True,False
Redondo Beach,False,False,False,False,False,False,False,True,False,False
Reef Point,False,False,False,False,False,False,False,True,False,False
Reuben Tarte,False,False,False,False,False,False,False,False,True,False
Richmond Beach,False,False,False,False,False,False,False,True,False,False
Rock 305,False,False,False,False,False,False,False,False,False,True
Rosario Beach Urchin Rocks,False,False,False,True,False,False,False,False,False,False
Rosario Beach Urchin Rocks North,False,False,False,False,False,False,False,False,True,False
Rosario Head,False,False,False,False,False,False,False,False,True,False
Rosario Wall,False,False,False,False,False,False,False,False,True,False
Rosie's Ravine,False,False,False,False,False,False,False,False,True,False
Ruston - Katie Downs,False,False,False,False,False,False,False,False,True,False
Salmon Beach,False,False,False,False,False,False,False,True,False,False
Salt Creek,False,False,False,False,False,False,False,True,False,False
Saltar's Point,False,False,False,False,False,False,False,False,True,False
Saltwater State Park,False,False,False,False,False,False,False,True,False,False
Sares Head,False,False,False,False,False,False,False,False,True,False
Scenic Beach State Park,False,False,False,False,False,False,False,True,False,False
Seabeck Bay,False,False,False,False,False,False,False,True,False,False
Seattle Waterfront,False,False,False,True,False,False,False,False,False,False
Sekiu,False,False,True,False,False,False,False,False,False,False
Shirttail Reef,False,False,False,False,False,False,False,True,False,False
Sirens of Spring,False,False,False,False,False,False,False,False,True,False
Skyline,False,False,False,False,False,False,False,False,True,False
Smallpox Bay,False,False,False,False,False,False,False,False,True,False
South Hat Island,False,False,False,False,False,False,False,False,True,False
Speiden Southwest,False,False,False,False,False,False,False,False,True,False
Squaxin Island,False,False,True,False,False,False,False,False,False,False
Steilacoom Marina,False,False,False,False,False,False,False,False,True,False
Strawberry Falls,False,False,False,False,False,False,False,False,True,False
Sucia Island - Lawson's Bluff,False,False,False,False,False,False,False,False,True,False
Sucia Island - Shallow Bay,False,False,False,False,False,False,False,False,True,False
Sund Rock,False,False,False,False,False,False,False,False,True,False
Sund Rock North,False,False,False,False,False,False,False,False,True,False
Sund Rock South,False,False,False,False,False,False,False,False,True,False
Sunnyside Beach Park,False,False,True,False,False,False,False,False,False,False
Sunrise Beach State Park,False,False,False,False,False,False,True,False,False,False
Tacoma Narrows,False,False,False,False,False,False,False,False,True,False
Tacoma Narrows - Point Evans,False,False,False,True,False,False,False,False,False,False
Tacoma Old Town Pier,False,False,False,False,False,False,False,True,False,False
Teahwhit Head,False,False,False,False,False,False,True,False,False,False
The Pinnacle,False,False,False,True,False,False,False,False,False,False
Thea's Park - Foss Waterway,False,False,False,False,False,False,False,False,True,False
Three Tree Point,False,False,False,False,False,False,False,False,True,False
Three Tree Point North,False,False,False,False,False,False,False,False,True,False
Tire Reef N Saltwater State Park,False,False,False,False,False,False,False,True,False,False
Titlow Beach Park,False,False,False,False,False,False,False,True,False,False
Tongue Point,False,False,False,False,False,False,False,True,False,False
Triton Cove,False,False,False,True,False,False,False,False,False,False
Triton Head,False,False,False,True,False,False,False,False,False,False
Urchin Rocks South,False,False,False,False,False,False,False,False,True,False
Watmaugh Bay,False,False,False,False,False,False,False,True,False,False
Whale Rocks,False,False,False,False,False,False,False,False,True,False
Widmer Reef,False,False,False,False,False,False,False,False,True,False
Wing Point,False,False,False,False,False,False,False,True,False,False
Wreck of the Ranger,False,False,False,False,False,False,False,False,True,False
Yellow House,False,False,False,True,False,False,False,False,False,False
Young Island West,False,False,False,False,False,False,False,False,True,False
Z's Reef,False,False,False,False,False,False,False,True,False,False
